dataset,k,tiempo,memoria_mb
1mb,51,57.81631480000033,4742.0390625
2mb,51,114.71838919999982,8059.5703125
3mb,51,175.84743220000018,10641.5078125
4.6mb,51,393.45566670000017,10543.48828125
